mukey,ph,cec,om
183024,22.17401752190238,83.28176698705894,9.04566958698373
183025,11.020689655172415,40.33940886699507,3.253448275862069
183054,14.76360645453425,51.30317374471661,4.595248226950355
183070,12.216189165671263,46.367728518802785,4.679897266556595
208703,14.921748251748252,53.23846153846154,3.500769230769231
209019,28.854679750223017,103.29892952720785,6.552271186440679
244618,13.478294296266249,33.629377989621894,0.1
244623,28.792514619883043,82.88077972709551,3.84
244688,10.306001086919983,25.495116311643496,2.248701298701299
244689,10.641954035610638,27.007844223076322,1.9763636363636365
244814,14.149245569491638,46.524776556296395,3.071340326585898
244815,15.675,46.3125,3.8000000000000003
396132,37.129907219516376,149.96247770065375,22.276427328306305
396133,17.005630143646698,61.334999124341735,10.743114066995847
396153,33.24413371145492,158.50549377388654,28.149693636732405
396157,49.515200361332916,205.17519027079325,22.054974048971875
396161,31.710756088806892,107.2186141626378,14.300164558567563
399774,31.882315789473683,92.11152631578948,7.876315789473685
399776,126.0896357379873,356.35133286147396,29.928161427112677
399777,64.80657746478875,182.89728169014083,11.104225352112676
399778,79.66617327248497,226.83606392081424,19.0646247339011
399779,113.41151056338032,320.0702429577465,19.43239436619719
399781,49.07839468629962,138.07853233034572,8.473871318822022
399787,16.08670676152267,52.341904178577074,1.913835344982886
399792,17.57864255680891,48.34047167324199,6.898562579364995
399796,15.55206365427445,52.77747120768351,8.19551023476838
399800,62.594738101345506,136.20357983350044,9.62981367908029
399802,111.01675047150839,241.50223399379857,16.900150394060223
399803,111.01675047150835,241.5022339937985,16.900150394060223
399804,15.81468453164526,34.22139561795504,2.2890656282873527
399805,13.067466917454185,47.32723517354315,8.367693458783808
399809,15.440370286938375,44.227821567769055,1.1
403211,15.488212726014279,20.22076686040448,2.963157894736842
403212,15.488212726014279,20.22076686040448,2.963157894736842
403217,16.73998810790774,40.60325881576766,5.882503262279246
403232,80.64930683446671,233.56076789568962,38.91104004697731
403234,18.599396926185722,56.362867589281876,8.033956580308853
403236,59.527590694783015,173.10377908454234,12.963243217190586
403240,25.96453008941016,21.999505067839845,4.6
403266,82.19265508998721,254.93151566255347,23.63977039265206
403268,97.12689684043072,307.78414386271953,14.35978689426816
403269,16.060895631763096,51.36522637549311,8.96418660510767
435526,29.808072773125275,42.52439160641669,7.902439024390244
435686,19.882834092677818,34.10420251227179,5.366056577198658
435877,13.50867309117865,17.76382505559674,2.2816901408450705
1150789,30.343154287157844,62.266521566314005,4.92760207300815
1150801,14.563116503675941,30.159340548334004,2.3696331886249453
1150810,20.696666347983662,51.885793297182346,3.2848660148095132
1150813,17.670233053861246,39.945096051468845,3.34043795935082
1595766,15.888374343689097,46.687697387858044,5.657720470786046
1595801,30.575986820903367,86.61923961531285,8.406598707532607
1596000,27.90068261887792,87.29875179038117,7.04927536231884
1596009,13.321187831965233,49.711857798165134,2.80651376146789
1596035,14.279289938399721,42.370385862694704,4.6983878642142685
1596037,13.250150892500951,39.905417921456205,4.644473967176005
1596039,29.284181254005315,81.02810146654409,7.203673851503465
1612280,14.038389302871785,41.2759454528817,4.7265938568530865
2518531,12.022935074913562,53.04688340376489,3.416058394160584
2668945,18.840160238763183,73.01914434523286,5.165656394460061
2669022,57.486055666247,116.16292656064738,7.9298015728709546
2669024,77.57924422015185,177.46798406854558,13.140488921725769
2745864,20.410538711884897,59.12593116503529,3.8052541711615255
3004698,13.337704560546664,45.186283165177905,6.507142857142858
3182556,19.075786083522484,57.21868287891056,6.175007655736573
3182557,38.513131207555034,117.4870308367492,14.219365581359163
3182562,19.079434409379626,57.579272910777185,6.116680046087726
3182568,38.62696886615485,118.13284699591132,14.450923088892285
